03/06/2025 11:13:45 Training is starting...
03/06/2025 11:15:13 Epoch 0 val_loss: 118.95851135
03/06/2025 11:15:13 Epoch 0 train_e_pbe0_d3: 0.04483863
03/06/2025 11:15:13 Epoch 0 train_f_pbe0_d3: 0.36841395
03/06/2025 11:15:13 Epoch 0 train_e_pbe0_d3_rmse: 0.04483863
03/06/2025 11:15:13 Epoch 0 train_f_pbe0_d3_rmse: 0.36841395
03/06/2025 11:15:13 Epoch 0 lr-Adam: 0.01000000
03/06/2025 11:15:13 Epoch 0 val_e_pbe0_d3_rmse: 0.02065673
03/06/2025 11:15:13 Epoch 0 val_f_pbe0_d3_rmse: 0.34090465
03/06/2025 11:16:49 Epoch 1 val_loss: 30.79773331
03/06/2025 11:16:49 Epoch 1 train_e_pbe0_d3: 0.04267200
03/06/2025 11:16:49 Epoch 1 train_f_pbe0_d3: 0.18609205
03/06/2025 11:16:49 Epoch 1 train_e_pbe0_d3_rmse: 0.04267200
03/06/2025 11:16:49 Epoch 1 train_f_pbe0_d3_rmse: 0.18609205
03/06/2025 11:16:49 Epoch 1 lr-Adam: 0.01000000
03/06/2025 11:16:49 Epoch 1 val_e_pbe0_d3_rmse: 0.02558727
03/06/2025 11:16:49 Epoch 1 val_f_pbe0_d3_rmse: 0.16604994
03/06/2025 11:18:24 Epoch 2 val_loss: 22.62598991
03/06/2025 11:18:24 Epoch 2 train_e_pbe0_d3: 0.02935139
03/06/2025 11:18:24 Epoch 2 train_f_pbe0_d3: 0.12505534
03/06/2025 11:18:24 Epoch 2 train_e_pbe0_d3_rmse: 0.02935139
03/06/2025 11:18:24 Epoch 2 train_f_pbe0_d3_rmse: 0.12505534
03/06/2025 11:18:24 Epoch 2 lr-Adam: 0.01000000
03/06/2025 11:18:24 Epoch 2 val_e_pbe0_d3_rmse: 0.00790912
03/06/2025 11:18:24 Epoch 2 val_f_pbe0_d3_rmse: 0.14572217
03/06/2025 11:19:59 Epoch 3 val_loss: 19.16887283
03/06/2025 11:19:59 Epoch 3 train_e_pbe0_d3: 0.01542169
03/06/2025 11:19:59 Epoch 3 train_f_pbe0_d3: 0.13132606
03/06/2025 11:19:59 Epoch 3 train_e_pbe0_d3_rmse: 0.01542169
03/06/2025 11:19:59 Epoch 3 train_f_pbe0_d3_rmse: 0.13132606
03/06/2025 11:19:59 Epoch 3 lr-Adam: 0.01000000
03/06/2025 11:19:59 Epoch 3 val_e_pbe0_d3_rmse: 0.01611825
03/06/2025 11:19:59 Epoch 3 val_f_pbe0_d3_rmse: 0.13336463
03/06/2025 11:21:34 Epoch 4 val_loss: 51.05941772
03/06/2025 11:21:34 Epoch 4 train_e_pbe0_d3: 0.02541978
03/06/2025 11:21:34 Epoch 4 train_f_pbe0_d3: 0.13523263
