17/03/2025 13:30:08 Training is starting...
17/03/2025 13:32:28 Epoch 0 val_loss: 58.57414246
17/03/2025 13:32:28 Epoch 0 train_e_hse06_d4: 0.03126235
17/03/2025 13:32:28 Epoch 0 train_f_hse06_d4: 0.22016251
17/03/2025 13:32:28 Epoch 0 train_e_hse06_d4_rmse: 0.03126235
17/03/2025 13:32:28 Epoch 0 train_f_hse06_d4_rmse: 0.22016251
17/03/2025 13:32:28 Epoch 0 lr-Adam: 0.01000000
17/03/2025 13:32:28 Epoch 0 val_e_hse06_d4_rmse: 0.04487814
17/03/2025 13:32:28 Epoch 0 val_f_hse06_d4_rmse: 0.22254489
17/03/2025 13:34:49 Epoch 1 val_loss: 50.40509796
17/03/2025 13:34:49 Epoch 1 train_e_hse06_d4: 0.02325354
17/03/2025 13:34:49 Epoch 1 train_f_hse06_d4: 0.38406837
17/03/2025 13:34:49 Epoch 1 train_e_hse06_d4_rmse: 0.02325354
17/03/2025 13:34:49 Epoch 1 train_f_hse06_d4_rmse: 0.38406837
17/03/2025 13:34:49 Epoch 1 lr-Adam: 0.01000000
17/03/2025 13:34:49 Epoch 1 val_e_hse06_d4_rmse: 0.03223172
17/03/2025 13:34:49 Epoch 1 val_f_hse06_d4_rmse: 0.21461666
17/03/2025 13:37:09 Epoch 2 val_loss: 30.39087868
17/03/2025 13:37:09 Epoch 2 train_e_hse06_d4: 0.01187839
17/03/2025 13:37:09 Epoch 2 train_f_hse06_d4: 0.13131683
17/03/2025 13:37:09 Epoch 2 train_e_hse06_d4_rmse: 0.01187839
17/03/2025 13:37:09 Epoch 2 train_f_hse06_d4_rmse: 0.13131683
17/03/2025 13:37:09 Epoch 2 lr-Adam: 0.01000000
17/03/2025 13:37:09 Epoch 2 val_e_hse06_d4_rmse: 0.01958476
17/03/2025 13:37:09 Epoch 2 val_f_hse06_d4_rmse: 0.16799581
17/03/2025 13:39:28 Epoch 3 val_loss: 14.17422295
17/03/2025 13:39:28 Epoch 3 train_e_hse06_d4: 0.01390187
17/03/2025 13:39:28 Epoch 3 train_f_hse06_d4: 0.11745234
17/03/2025 13:39:28 Epoch 3 train_e_hse06_d4_rmse: 0.01390187
17/03/2025 13:39:28 Epoch 3 train_f_hse06_d4_rmse: 0.11745234
17/03/2025 13:39:28 Epoch 3 lr-Adam: 0.01000000
17/03/2025 13:39:28 Epoch 3 val_e_hse06_d4_rmse: 0.01875324
17/03/2025 13:39:28 Epoch 3 val_f_hse06_d4_rmse: 0.10969359
17/03/2025 13:41:49 Epoch 4 val_loss: 25.16753197
17/03/2025 13:41:49 Epoch 4 train_e_hse06_d4: 0.01996138
17/03/2025 13:41:49 Epoch 4 train_f_hse06_d4: 0.09039260
17/03/2025 13:41:49 Epoch 4 train_e_hse06_d4_rmse: 0.01996138
17/03/2025 13:41:49 Epoch 4 train_f_hse06_d4_rmse: 0.09039260
17/03/2025 13:41:49 Epoch 4 lr-Adam: 0.01000000
17/03/2025 13:41:49 Epoch 4 val_e_hse06_d4_rmse: 0.03214465
17/03/2025 13:41:49 Epoch 4 val_f_hse06_d4_rmse: 0.14247353
17/03/2025 13:44:08 Epoch 5 val_loss: 18.30889511
17/03/2025 13:44:08 Epoch 5 train_e_hse06_d4: 0.00324948
17/03/2025 13:44:08 Epoch 5 train_f_hse06_d4: 0.13941677
17/03/2025 13:44:08 Epoch 5 train_e_hse06_d4_rmse: 0.00324948
17/03/2025 13:44:08 Epoch 5 train_f_hse06_d4_rmse: 0.13941677
17/03/2025 13:44:08 Epoch 5 lr-Adam: 0.01000000
17/03/2025 13:44:08 Epoch 5 val_e_hse06_d4_rmse: 0.03586100
17/03/2025 13:44:08 Epoch 5 val_f_hse06_d4_rmse: 0.11341042
17/03/2025 13:46:28 Epoch 6 val_loss: 10.90196514
17/03/2025 13:46:28 Epoch 6 train_e_hse06_d4: 0.00752308
