17/03/2025 20:44:59 Training is starting...
17/03/2025 21:44:30 Epoch 0 val_loss: 56.50534058
17/03/2025 21:44:30 Epoch 0 train_e_pbe_d4: 0.03648036
17/03/2025 21:44:30 Epoch 0 train_f_pbe_d4: 0.25808257
17/03/2025 21:44:30 Epoch 0 train_e_pbe_d4_rmse: 0.03648036
17/03/2025 21:44:30 Epoch 0 train_f_pbe_d4_rmse: 0.25808257
17/03/2025 21:44:30 Epoch 0 lr-Adam: 0.01000000
17/03/2025 21:44:30 Epoch 0 val_e_pbe_d4_rmse: 0.01911898
17/03/2025 21:44:30 Epoch 0 val_f_pbe_d4_rmse: 0.23151776
17/03/2025 21:46:08 Epoch 1 val_loss: 131.63677979
17/03/2025 21:46:08 Epoch 1 train_e_pbe_d4: 0.01614253
17/03/2025 21:46:08 Epoch 1 train_f_pbe_d4: 0.30805236
17/03/2025 21:46:08 Epoch 1 train_e_pbe_d4_rmse: 0.01614253
17/03/2025 21:46:08 Epoch 1 train_f_pbe_d4_rmse: 0.30805236
17/03/2025 21:46:08 Epoch 1 lr-Adam: 0.01000000
17/03/2025 21:46:08 Epoch 1 val_e_pbe_d4_rmse: 0.01992224
17/03/2025 21:46:08 Epoch 1 val_f_pbe_d4_rmse: 0.35885167
17/03/2025 21:47:44 Epoch 2 val_loss: 54.35329819
17/03/2025 21:47:44 Epoch 2 train_e_pbe_d4: 0.06533460
17/03/2025 21:47:44 Epoch 2 train_f_pbe_d4: 0.19549465
17/03/2025 21:47:44 Epoch 2 train_e_pbe_d4_rmse: 0.06533460
17/03/2025 21:47:44 Epoch 2 train_f_pbe_d4_rmse: 0.19549465
17/03/2025 21:47:44 Epoch 2 lr-Adam: 0.01000000
17/03/2025 21:47:44 Epoch 2 val_e_pbe_d4_rmse: 0.08171333
17/03/2025 21:47:44 Epoch 2 val_f_pbe_d4_rmse: 0.16983075
17/03/2025 22:56:41 Epoch 3 val_loss: 24.65854073
17/03/2025 22:56:41 Epoch 3 train_e_pbe_d4: 0.05534335
17/03/2025 22:56:41 Epoch 3 train_f_pbe_d4: 0.12826328
17/03/2025 22:56:41 Epoch 3 train_e_pbe_d4_rmse: 0.05534335
17/03/2025 22:56:41 Epoch 3 train_f_pbe_d4_rmse: 0.12826328
17/03/2025 22:56:41 Epoch 3 lr-Adam: 0.01000000
17/03/2025 22:56:41 Epoch 3 val_e_pbe_d4_rmse: 0.01353276
17/03/2025 22:56:41 Epoch 3 val_f_pbe_d4_rmse: 0.15345046
